anon_id,sender,sender_id,block_type,task_id,super_rule,sub_rule,response,correct,difficulty,duration,timestamp
t1,First Example,4_0_0,,,,,skip,,,3089.1000000029817,2025-11-21T10:32:31.948Z
t1,Inference Decision,4_0_1_0_0,practice,p1,,,Different,True,,2474.70000000298,2025-11-21T10:32:34.436Z
t1,Inference Decision,4_0_1_1_0,practice,p2,,,Same,True,,1056.1000000059576,2025-11-21T10:32:36.517Z
t1,Inference Decision,4_0_1_2_0,practice,p3,,,Different,True,,638.2000000059634,2025-11-21T10:32:38.163Z
t1,Rule Reminder,4_0_2,,,,,skip,,,1292.5,2025-11-21T10:32:40.469Z
t1,Application Decision,4_0_3_0_0,practice,p6,,,Same,True,,748.5000000059663,2025-11-21T10:32:41.226Z
t1,Application Decision,4_0_3_1_0,practice,p5,,,Different,True,,949.7000000044644,2025-11-21T10:32:43.229Z
t1,Application Decision,4_0_3_2_0,practice,p4,,,Same,True,,769.1000000000058,2025-11-21T10:32:45.010Z
t1,First Example,6_0_0,,,,,skip,,,11081.700000005963,2025-11-21T10:32:58.829Z
t1,Inference Decision,6_0_1_0_0,inference,0,expansion,star_step,Different,True,1,1439.3999999999942,2025-11-21T10:33:00.280Z
t1,Confidence Check,6_0_1_0_1,inference,0,expansion,star_step,Very Sure,,1,844.8999999999942,2025-11-21T10:33:01.136Z
t1,Inference Decision,6_0_1_1_0,inference,1,expansion,star_step,Same,True,1,2451.800000005954,2025-11-21T10:33:03.595Z
t1,Confidence Check,6_0_1_1_1,inference,1,expansion,star_step,Very Sure,,1,3.8000000000029104,2025-11-21T10:33:03.612Z
t1,Inference Decision,6_0_1_2_0,inference,2,expansion,plus_full,Different,True,1,1213.6000000059576,2025-11-21T10:33:04.855Z
t1,Confidence Check,6_0_1_2_1,inference,2,expansion,plus_full,Very Sure,,1,116.20000000149594,2025-11-21T10:33:04.991Z
t1,Inference Decision,6_0_1_3_0,inference,3,expansion,plus_full,Same,True,1,1114.1000000059576,2025-11-21T10:33:06.122Z
t1,Confidence Check,6_0_1_3_1,inference,3,expansion,plus_full,Very Sure,,1,85.50000000298314,2025-11-21T10:33:06.244Z
t1,Inference Decision,6_0_1_4_0,inference,4,expansion,plus_full,Same,True,1,1172.1000000000058,2025-11-21T10:33:07.431Z
t1,Confidence Check,6_0_1_4_1,inference,4,expansion,plus_full,Very Sure,,1,121.10000000000582,2025-11-21T10:33:07.565Z
t1,Rule Reminder,6_0_2,,,,,skip,,,2652.9000000059605,2025-11-21T10:33:10.229Z
t1,Application Decision,6_0_3_0_0,application,5,expansion,star_step,Same,True,1,2526.10000000149,2025-11-21T10:33:12.768Z
t1,Confidence Check,6_0_3_0_1,application,5,expansion,star_step,Very Sure,,1,68.00000000446744,2025-11-21T10:33:12.843Z
t1,Application Decision,6_0_3_1_0,application,6,expansion,diagonal_full,Different,True,3,1859.800000002986,2025-11-21T10:33:14.717Z
t1,Confidence Check,6_0_3_1_1,application,6,expansion,diagonal_full,Very Sure,,3,105.60000000000582,2025-11-21T10:33:14.829Z
t1,Application Decision,6_0_3_2_0,application,7,expansion,plus_step,Different,True,1,2257.20000000298,2025-11-21T10:33:17.098Z
