super_rule,total_correct,total_trials,mean_duration,sub_rule,accuracy,sem
arithmetic,133,190,4098.7563157925715,,0.7,
arithmetic,43,57,4052.2738596519016,inversion,0.7543859649122807,0.05609159676389145
arithmetic,73,95,4449.592210529585,majority,0.7684210526315789,0.07985829246835817
arithmetic,17,38,3291.390263161043,minority,0.4473684210526316,0.09283337933559967
attraction,131,190,3599.4562631611,,0.6894736842105263,
attraction,83,95,3423.7527368462406,color,0.8736842105263158,0.03491183989847789
attraction,41,57,3930.122631582065,gravity,0.7192982456140351,0.05847953216374267
attraction,7,38,3542.715526316804,size,0.18421052631578946,0.0784585255263084
expansion,127,190,5138.085421055905,,0.6684210526315789,
expansion,15,38,5278.2726315817,diagonal_full,0.39473684210526316,0.10526315789473684
expansion,44,57,5362.284736844613,plus_full,0.7719298245614035,0.05729800567913866
expansion,10,19,4442.148947372687,plus_step,0.5263157894736842,0.1176877882894626
expansion,18,19,3948.298421059134,star_full,0.9473684210526315,0.05263157894736841
expansion,40,57,5449.002456143329,star_step,0.7017543859649122,0.04336958179588107
occlusion,144,190,3529.980315792299,,0.7578947368421053,
occlusion,15,19,4331.80000000118,mirror_x,0.7894736842105263,0.0960916767552923
occlusion,14,19,6474.662105265483,mirror_y,0.7368421052631579,0.10379087338771255
occlusion,103,133,3067.1718797027556,reversal,0.7744360902255639,0.029548436397372417
occlusion,12,19,3023.1378947370363,rotate_180,0.631578947368421,0.1136972052352256
