sender,sender_type,sender_id,timestamp,meta,"",age,applies,consent,response,correctResponse,correct,duration,educational_level,ended_on,example_1,example_2,fb_attention,fb_confidence,fb_difficulty,fb_strategy_text,fb_strategy_used,gender,occupation,response_action,task_id,time_commit,time_end,time_render,time_run,time_show,time_switch,url
Welcome & Consent,html.Page,0,2025-11-07T07:42:07.594Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-60,""screen_width"":2752,""screen_height"":1152,""scroll_width"":1195,""scroll_height"":845,""window_innerWidth"":1219,""window_innerHeight"":860,""devicePixelRatio"":1.25}",,,,true,,,,3691.9000000014903,,form submission,,,,,,,,,,,,3797.2999999970198,3797.10000000149,99.4,101.10000000149012,105.2,3797.6,{}
Questionnaire,html.Form,1,2025-11-07T07:42:14.188Z,,,26,,,,,,6593.4,bachelor,form submission,,,,,,,,male,student,,,10391.19999999553,10391,3791.8,3797.60000000149,3797.6,10398.8,
Matrix Pairs,html.Page,2_0,2025-11-07T07:42:14.837Z,,,,,,,,,641.7000000000007,,form submission,,,,,,,,,,,,11040.69999999553,11040.5,10393.3,10391.29999999702,10398.8,11050.4,
Background Cue,html.Page,2_1,2025-11-07T07:42:15.124Z,,,,,,,,,276.7000000014905,,form submission,,,,,,,,,,,,11327.19999999553,11327.10000000149,11044.6,11040.79999999702,11050.4,11330.4,
Introduction,flow.Sequence,2,2025-11-07T07:42:15.124Z,,,,,,,,,928.3000000014908,,completion,,,,,,,,,,,,11327.39999999851,11327.10000000149,10393.3,10391.29999999702,10398.8,11330.4,
Practice Information,html.Page,3,2025-11-07T07:42:15.353Z,,,,,,,,,225.89999999702013,,form submission,,,,,,,,,,,,11556.39999999851,11556.29999999702,11324.9,11327.39999999851,11330.4,11564.8,
First Example,html.Page,4_0,2025-11-07T07:42:16.259Z,,,,,,f,,,897.2000000000007,,response,,,,,,,,,,keypress(f),,12462.89999999851,12462,11559.4,11556.39999999851,11564.8,12467.7,
Inference Decision,html.Page,4_1_0_0,2025-11-07T07:42:17.268Z,,,,n,,y,n,false,1002.6999999985092,,response,attraction_gravity.t22.combined.png,attraction_gravity.t24.combined.png,,,,,,,,keypress(j),p1,13471.19999999553,13470.39999999851,12462.1,12463.10000000149,12467.7,13473.7,
Confidence Check,html.Page,4_1_0_1,2025-11-07T07:42:17.317Z,,,,n,,f,,,45.90000000148939,,response,attraction_gravity.t22.combined.png,attraction_gravity.t24.combined.png,,,,,,,,keypress(f),p1,13520.10000000149,13519.60000000149,13468.2,13471.39999999851,13473.7,13525.1,
Inference Sequence,flow.Sequence,4_1_0,2025-11-07T07:42:17.317Z,,,,n,,,,,1051.9000000014894,,completion,attraction_gravity.t22.combined.png,attraction_gravity.t24.combined.png,,,,,,,,,p1,13520.29999999702,13519.60000000149,12462.1,12463.10000000149,12467.7,13525.1,
Inference Decision,html.Page,4_1_1_0,2025-11-07T07:42:17.481Z,,,,y,,y,y,true,158.29999999850952,,response,attraction_gravity.t25.combined.png,attraction_gravity.t27.combined.png,,,,,,,,keypress(j),p2,13684.79999999702,13683.39999999851,13519.6,13520.5,13525.1,13691,
Confidence Check,html.Page,4_1_1_1,2025-11-07T07:42:17.531Z,,,,y,,f,,,43.19999999552965,,response,attraction_gravity.t25.combined.png,attraction_gravity.t27.combined.png,,,,,,,,keypress(f),p2,13734.79999999702,13734.19999999553,13685.2,13685.10000000149,13691,13737,
Inference Sequence,flow.Sequence,4_1_1,2025-11-07T07:42:17.532Z,,,,y,,,,,209.0999999955293,,completion,attraction_gravity.t25.combined.png,attraction_gravity.t27.combined.png,,,,,,,,,p2,13735,13734.19999999553,13519.6,13520.5,13525.1,13737,
Inference Decision,html.Page,4_1_2_0,2025-11-07T07:42:17.662Z,,,,n,,y,n,false,128.10000000149012,,response,attraction_size.t29.combined.png,attraction_size.t28.combined.png,,,,,,,,keypress(j),p3,13865.89999999851,13865.10000000149,13730.9,13735.19999999553,13737,13868.2,
Confidence Check,html.Page,4_1_2_1,2025-11-07T07:42:17.732Z,,,,n,,f,,,66.79999999999927,,response,attraction_size.t29.combined.png,attraction_size.t28.combined.png,,,,,,,,keypress(f),p3,13935.19999999553,13935,13862.3,13866,13868.2,13936.8,
Inference Sequence,flow.Sequence,4_1_2,2025-11-07T07:42:17.732Z,,,,n,,,,,198,,completion,attraction_size.t29.combined.png,attraction_size.t28.combined.png,,,,,,,,,p3,13935.29999999702,13935,13730.9,13735.10000000149,13737,13936.8,
Inference Block,flow.Loop,4_1,2025-11-07T07:42:17.732Z,,,,,,,,,1467.2999999999993,,completion,,,,,,,,,,,,13935.39999999851,13935,12462.1,12463,12467.7,13936.8,
Rule Reminder,html.Page,4_2,2025-11-07T07:42:17.936Z,,,,,,f,,,201.9999999970205,,response,,,,,,,,,,keypress(f),,14139.39999999851,14138.79999999702,13934.864,13935.39999999851,13936.8,14142.6,
Application Decision,html.Page,4_3_0_0,2025-11-07T07:42:18.033Z,,,,y,,y,y,true,93.39999999999964,,response,attraction_color.t35.combined.png,attraction_color.t28.combined.png,,,,,,,,keypress(j),p4,14236.39999999851,14236,14136.8,14139.60000000149,14142.6,14239.5,
